order_item_id,order_id,item_id,order_status,brand_id,customer_id,category_id,store_id,staff_id,product_id,required_date,shipped_date,order_date,region_id,latency_days,Late_Deliveries,Locality_Flag,quantity,list_price,local_price,discount,total_amount_US,total_amount_EG
72,26,1,4,9,1280,6,2,7,7,20160121,20160119.0,20160118,158,1.0,0,Non local,1,3999.99,189872.87,0.05,200.0,9493.64
73,26,2,4,5,1280,6,2,7,2,20160121,20160119.0,20160118,158,1.0,0,Non local,1,749.99,35600.78,0.2,150.0,7120.16
74,26,3,4,1,1280,3,2,7,12,20160121,20160119.0,20160118,158,1.0,0,Non local,1,549.99,26107.11,0.2,110.0,5221.42
75,26,4,4,1,1280,1,2,7,21,20160121,20160119.0,20160118,158,1.0,0,Non local,2,269.99,12815.98,0.07,37.8,1794.24
76,27,1,4,3,57,6,2,7,5,20160121,20160120.0,20160119,48,1.0,0,Non local,1,1320.99,62705.2,0.2,264.2,12541.04
77,27,2,4,4,57,3,2,7,19,20160121,20160120.0,20160119,48,1.0,0,Non local,1,449.0,21313.28,0.2,89.8,4262.66
78,27,3,4,1,57,2,2,7,26,20160121,20160120.0,20160119,48,1.0,0,Non local,2,599.99,28480.53,0.07,84.0,3987.27
79,27,4,4,9,57,6,2,7,8,20160121,20160120.0,20160119,48,1.0,0,Non local,1,1799.99,85442.53,0.07,126.0,5980.98
80,28,1,4,3,252,6,2,6,5,20160120,20160121.0,20160119,39,2.0,1,Non local,1,1320.99,62705.2,0.05,66.05,3135.26
81,28,2,4,9,252,6,2,6,7,20160120,20160121.0,20160119,39,2.0,1,Non local,2,3999.99,189872.87,0.2,1600.0,75949.15
82,28,3,4,1,252,3,2,6,14,20160120,20160121.0,20160119,39,2.0,1,Non local,2,269.99,12815.98,0.1,54.0,2563.2
83,28,4,4,8,252,6,2,6,6,20160120,20160121.0,20160119,39,2.0,1,Non local,1,469.99,22309.64,0.05,23.5,1115.48
84,29,1,4,1,437,2,2,6,24,20160122,20160121.0,20160120,1,1.0,0,Non local,2,549.99,26107.11,0.05,55.0,2610.71
85,29,2,4,8,437,6,2,6,6,20160122,20160121.0,20160120,1,1.0,0,Non local,1,469.99,22309.64,0.2,94.0,4461.93
86,29,3,4,1,437,1,2,6,21,20160122,20160121.0,20160120,1,1.0,0,Non local,2,269.99,12815.98,0.1,54.0,2563.2
87,29,4,4,9,437,6,2,6,8,20160122,20160121.0,20160120,1,1.0,0,Non local,1,1799.99,85442.53,0.2,360.0,17088.51
88,29,5,4,1,437,3,2,6,14,20160122,20160121.0,20160120,1,1.0,0,Non local,2,269.99,12815.98,0.05,27.0,1281.6
89,30,1,4,1,1348,2,2,6,26,20160121,20160121.0,20160120,44,1.0,0,Non local,1,599.99,28480.53,0.05,30.0,1424.03
90,30,2,4,4,1348,3,2,6,17,20160121,20160121.0,20160120,44,1.0,0,Non local,1,429.0,20363.92,0.07,30.03,1425.47
91,30,3,4,4,1348,3,2,6,19,20160121,20160121.0,20160120,44,1.0,0,Non local,1,449.0,21313.28,0.1,44.9,2131.33
92,30,4,4,9,1348,6,2,6,4,20160121,20160121.0,20160120,44,1.0,0,Non local,1,2899.99,137657.7,0.1,290.0,13765.77
93,30,5,4,9,1348,6,2,6,7,20160121,20160121.0,20160120,44,1.0,0,Non local,2,3999.99,189872.87,0.1,800.0,37974.57
94,31,1,4,8,1238,4,3,8,11,20160122,20160122.0,20160120,164,2.0,0,Non local,2,1680.99,79793.8,0.05,168.1,7979.38
95,31,2,4,9,1238,5,3,8,9,20160122,20160122.0,20160120,164,2.0,0,Non local,2,2999.99,142404.53,0.2,1200.0,56961.81
96,32,1,4,9,1259,6,1,3,8,20160124,20160122.0,20160121,51,1.0,0,Non local,2,1799.99,85442.53,0.07,252.0,11961.95
97,32,2,4,1,1259,3,1,3,12,20160124,20160122.0,20160121,51,1.0,0,Non local,2,549.99,26107.11,0.07,77.0,3655.0
98,32,3,4,1,1259,2,1,3,25,20160124,20160122.0,20160121,51,1.0,0,Non local,2,499.99,23733.69,0.1,100.0,4746.74
99,33,1,4,1,236,1,2,6,23,20160122,20160122.0,20160121,121,1.0,0,Non local,2,299.99,14240.03,0.07,42.0,1993.6
100,33,2,4,9,236,6,2,6,7,20160122,20160122.0,20160121,121,1.0,0,Non local,1,3999.99,189872.87,0.1,400.0,18987.29
101,34,1,4,9,80,6,2,6,8,20160125,20160123.0,20160122,7,1.0,0,Non local,2,1799.99,85442.53,0.07,252.0,11961.95
102,34,2,4,8,80,4,2,6,10,20160125,20160123.0,20160122,7,1.0,0,Non local,2,1549.0,73528.45,0.1,309.8,14705.69
103,34,3,4,4,80,3,2,6,17,20160125,20160123.0,20160122,7,1.0,0,Non local,2,429.0,20363.92,0.2,171.6,8145.57
104,35,1,4,4,813,3,2,7,18,20160125,20160124.0,20160122,84,2.0,0,Non local,1,449.0,21313.28,0.05,22.45,1065.66
105,35,2,4,1,813,3,2,7,20,20160125,20160124.0,20160122,84,2.0,0,Non local,2,599.99,28480.53,0.05,60.0,2848.05
106,35,3,4,3,813,6,2,7,5,20160125,20160124.0,20160122,84,2.0,0,Non local,1,1320.99,62705.2,0.2,264.2,12541.04
107,35,4,4,1,813,1,2,7,21,20160125,20160124.0,20160122,84,2.0,0,Non local,2,269.99,12815.98,0.07,37.8,1794.24
108,35,5,4,1,813,1,2,7,22,20160125,20160124.0,20160122,84,2.0,0,Non local,1,269.99,12815.98,0.07,18.9,897.12
109,36,1,4,9,1321,5,2,6,9,20160124,20160124.0,20160123,104,1.0,0,Non local,1,2999.99,142404.53,0.07,210.0,9968.32
110,36,2,4,3,1321,6,2,6,5,20160124,20160124.0,20160123,104,1.0,0,Non local,1,1320.99,62705.2,0.05,66.05,3135.26
111,36,3,4,8,1321,6,2,6,3,20160124,20160124.0,20160123,104,1.0,0,Non local,2,999.99,47467.86,0.2,400.0,18987.14
112,37,1,4,1,164,3,2,6,16,20160128,20160126.0,20160125,106,1.0,0,Non local,2,599.99,28480.53,0.05,60.0,2848.05
113,38,1,4,9,583,6,2,7,7,20160127,20160126.0,20160125,25,1.0,0,Non local,2,3999.99,189872.87,0.05,400.0,18987.29
114,38,2,4,1,583,1,2,7,23,20160127,20160126.0,20160125,25,1.0,0,Non local,1,299.99,14240.03,0.07,21.0,996.8
115,38,3,4,1,583,2,2,7,25,20160127,20160126.0,20160125,25,1.0,0,Non local,1,499.99,23733.69,0.2,100.0,4746.74
116,38,4,4,8,583,4,2,7,10,20160127,20160126.0,20160125,25,1.0,0,Non local,2,1549.0,73528.45,0.1,309.8,14705.69
117,38,5,4,1,583,2,2,7,24,20160127,20160126.0,20160125,25,1.0,0,Non local,1,549.99,26107.11,0.07,38.5,1827.5
118,39,1,4,1,1296,1,2,7,22,20160126,20160126.0,20160125,96,1.0,0,Non local,2,269.99,12815.98,0.2,108.0,5126.39
119,39,2,4,1,1296,3,2,7,16,20160126,20160126.0,20160125,96,1.0,0,Non local,2,599.99,28480.53,0.2,240.0,11392.21
120,39,3,4,8,1296,6,2,7,3,20160126,20160126.0,20160125,96,1.0,0,Non local,2,999.99,47467.86,0.05,100.0,4746.79
121,39,4,4,1,1296,3,2,7,15,20160126,20160126.0,20160125,96,1.0,0,Non local,1,529.99,25157.74,0.1,53.0,2515.77
122,40,1,4,4,348,3,1,3,17,20160128,20160129.0,20160127,64,2.0,1,Non local,1,429.0,20363.92,0.2,85.8,4072.78
123,40,2,4,9,348,6,1,3,8,20160128,20160129.0,20160127,64,2.0,1,Non local,2,1799.99,85442.53,0.2,720.0,34177.01
124,41,1,4,3,979,6,2,6,5,20160130,20160129.0,20160127,156,2.0,0,Non local,1,1320.99,62705.2,0.1,132.1,6270.52
125,41,2,4,4,979,3,2,6,19,20160130,20160129.0,20160127,156,2.0,0,Non local,2,449.0,21313.28,0.2,179.6,8525.31
126,41,3,4,1,979,2,2,6,26,20160130,20160129.0,20160127,156,2.0,0,Non local,2,599.99,28480.53,0.2,240.0,11392.21
127,42,1,4,4,1095,3,2,7,19,20160128,20160130.0,20160127,114,3.0,1,Non local,1,449.0,21313.28,0.05,22.45,1065.66
128,43,1,4,1,1434,3,2,7,13,20160128,20160130.0,20160127,33,3.0,1,Non local,2,269.99,12815.98,0.1,54.0,2563.2
129,43,2,4,1,1434,3,2,7,12,20160128,20160130.0,20160127,33,3.0,1,Non local,2,549.99,26107.11,0.05,55.0,2610.71
130,44,1,4,9,861,6,2,7,7,20160131,20160130.0,20160128,142,2.0,0,Non local,1,3999.99,189872.87,0.1,400.0,18987.29
131,44,2,4,1,861,3,2,7,16,20160131,20160130.0,20160128,142,2.0,0,Non local,1,599.99,28480.53,0.05,30.0,1424.03
132,45,1,4,9,1220,6,2,7,4,20160131,20160131.0,20160128,66,3.0,0,Non local,2,2899.99,137657.7,0.2,1160.0,55063.08
133,45,2,4,1,1220,1,2,7,22,20160131,20160131.0,20160128,66,3.0,0,Non local,1,269.99,12815.98,0.07,18.9,897.12
134,45,3,4,1,1220,1,2,7,21,20160131,20160131.0,20160128,66,3.0,0,Non local,2,269.99,12815.98,0.05,27.0,1281.6
135,46,1,4,4,746,3,2,7,17,20160131,20160131.0,20160129,49,2.0,0,Non local,1,429.0,20363.92,0.1,42.9,2036.39
136,47,1,4,8,1234,6,2,7,6,20160130,20160131.0,20160129,27,2.0,1,Non local,1,469.99,22309.64,0.05,23.5,1115.48
137,47,2,4,1,1234,3,2,7,15,20160130,20160131.0,20160129,27,2.0,1,Non local,1,529.99,25157.74,0.1,53.0,2515.77
138,47,3,4,1,1234,2,2,7,25,20160130,20160131.0,20160129,27,2.0,1,Non local,2,499.99,23733.69,0.07,70.0,3322.72
139,47,4,4,1,1234,3,2,7,13,20160130,20160131.0,20160129,27,2.0,1,Non local,1,269.99,12815.98,0.2,54.0,2563.2
140,48,1,4,8,1012,4,2,7,11,20160201,20160202.0,20160130,32,3.0,1,Non local,1,1680.99,79793.8,0.1,168.1,7979.38
141,48,2,4,9,1012,6,2,7,4,20160201,20160202.0,20160130,32,3.0,1,Non local,1,2899.99,137657.7,0.2,580.0,27531.54
142,48,3,4,3,1012,6,2,7,5,20160201,20160202.0,20160130,32,3.0,1,Non local,2,1320.99,62705.2,0.1,264.2,12541.04
143,48,4,4,1,1012,3,2,7,14,20160201,20160202.0,20160130,32,3.0,1,Non local,2,269.99,12815.98,0.07,37.8,1794.24
144,49,1,4,1,608,3,2,6,13,20160201,20160202.0,20160131,162,2.0,1,Non local,2,269.99,12815.98,0.07,37.8,1794.24
145,50,1,4,8,872,6,3,8,3,20160203,20160202.0,20160131,89,2.0,0,Non local,1,999.99,47467.86,0.05,50.0,2373.39
146,50,2,4,1,872,2,3,8,26,20160203,20160202.0,20160131,89,2.0,0,Non local,2,599.99,28480.53,0.07,84.0,3987.27
147,50,3,4,1,872,3,3,8,13,20160203,20160202.0,20160131,89,2.0,0,Non local,2,269.99,12815.98,0.2,108.0,5126.39
148,51,1,4,1,1047,3,2,7,13,20160202,20160203.0,20160201,80,2.0,1,Non local,1,269.99,12815.98,0.05,13.5,640.8
149,51,2,4,1,1047,3,2,7,20,20160202,20160203.0,20160201,80,2.0,1,Non local,1,599.99,28480.53,0.05,30.0,1424.03
150,51,3,4,1,1047,2,2,7,26,20160202,20160203.0,20160201,80,2.0,1,Non local,2,599.99,28480.53,0.2,240.0,11392.21
151,52,1,4,1,767,2,1,2,25,20160204,20160205.0,20160203,83,2.0,1,Non local,1,499.99,23733.69,0.07,35.0,1661.36
152,53,1,4,9,965,6,2,6,8,20160204,20160205.0,20160203,101,2.0,1,Non local,2,1799.99,85442.53,0.2,720.0,34177.01
153,53,2,4,1,965,1,2,6,23,20160204,20160205.0,20160203,101,2.0,1,Non local,2,299.99,14240.03,0.05,30.0,1424.0
154,53,3,4,1,965,3,2,6,14,20160204,20160205.0,20160203,101,2.0,1,Non local,2,269.99,12815.98,0.2,108.0,5126.39
155,53,4,4,1,965,2,2,6,25,20160204,20160205.0,20160203,101,2.0,1,Non local,2,499.99,23733.69,0.1,100.0,4746.74
156,54,1,4,1,535,2,2,7,26,20160207,20160207.0,20160204,25,3.0,0,Non local,2,599.99,28480.53,0.2,240.0,11392.21
157,54,2,4,8,535,6,2,7,3,20160207,20160207.0,20160204,25,3.0,0,Non local,1,999.99,47467.86,0.2,200.0,9493.57
158,55,1,4,1,1173,1,2,6,21,20160207,20160206.0,20160204,138,2.0,0,Non local,1,269.99,12815.98,0.05,13.5,640.8
159,55,2,4,1,1173,2,2,6,25,20160207,20160206.0,20160204,138,2.0,0,Non local,2,499.99,23733.69,0.2,200.0,9493.48
160,55,3,4,1,1173,3,2,6,15,20160207,20160206.0,20160204,138,2.0,0,Non local,2,529.99,25157.74,0.2,212.0,10063.1
161,56,1,4,1,1241,3,2,6,20,20160206,20160207.0,20160204,55,3.0,1,Non local,2,599.99,28480.53,0.07,84.0,3987.27
162,57,1,4,1,1305,1,2,7,23,20160206,20160206.0,20160204,169,2.0,0,Non local,2,299.99,14240.03,0.1,60.0,2848.01
163,57,2,4,4,1305,3,2,7,19,20160206,20160206.0,20160204,169,2.0,0,Non local,2,449.0,21313.28,0.2,179.6,8525.31
164,57,3,4,1,1305,3,2,7,13,20160206,20160206.0,20160204,169,2.0,0,Non local,1,269.99,12815.98,0.07,18.9,897.12
165,58,1,4,1,504,3,2,6,14,20160207,20160207.0,20160205,70,2.0,0,Non local,2,269.99,12815.98,0.05,27.0,1281.6
166,58,2,4,4,504,3,2,6,18,20160207,20160207.0,20160205,70,2.0,0,Non local,1,449.0,21313.28,0.07,31.43,1491.93
167,58,3,4,1,504,1,2,6,23,20160207,20160207.0,20160205,70,2.0,0,Non local,1,299.99,14240.03,0.1,30.0,1424.0
168,59,1,4,1,563,1,2,7,21,20160207,20160206.0,20160205,39,1.0,0,Non local,1,269.99,12815.98,0.05,13.5,640.8
169,59,2,4,5,563,6,2,7,2,20160207,20160206.0,20160205,39,1.0,0,Non local,1,749.99,35600.78,0.1,75.0,3560.08
170,59,3,4,4,563,3,2,7,17,20160207,20160206.0,20160205,39,1.0,0,Non local,2,429.0,20363.92,0.1,85.8,4072.78
171,60,1,4,1,151,3,1,3,14,20160208,20160207.0,20160206,23,1.0,0,Non local,2,269.99,12815.98,0.05,27.0,1281.6
172,60,2,4,9,151,6,1,3,4,20160208,20160207.0,20160206,23,1.0,0,Non local,1,2899.99,137657.7,0.1,290.0,13765.77
173,60,3,4,1,151,3,1,3,15,20160208,20160207.0,20160206,23,1.0,0,Non local,1,529.99,25157.74,0.07,37.1,1761.04
174,60,4,4,1,151,1,1,3,22,20160208,20160207.0,20160206,23,1.0,0,Non local,1,269.99,12815.98,0.2,54.0,2563.2
175,61,1,4,1,277,2,2,7,25,20160209,20160209.0,20160206,10,3.0,0,Non local,1,499.99,23733.69,0.1,50.0,2373.37
176,61,2,4,1,277,3,2,7,15,20160209,20160209.0,20160206,10,3.0,0,Non local,2,529.99,25157.74,0.05,53.0,2515.77
177,61,3,4,3,277,6,2,7,5,20160209,20160209.0,20160206,10,3.0,0,Non local,2,1320.99,62705.2,0.2,528.4,25082.08
178,62,1,4,1,208,3,1,2,14,20160210,20160210.0,20160207,120,3.0,0,Non local,1,269.99,12815.98,0.07,18.9,897.12
179,62,2,4,9,208,6,1,2,8,20160210,20160210.0,20160207,120,3.0,0,Non local,2,1799.99,85442.53,0.1,360.0,17088.51
180,62,3,4,1,208,1,1,2,22,20160210,20160210.0,20160207,120,3.0,0,Non local,2,269.99,12815.98,0.1,54.0,2563.2
181,63,1,4,1,1075,2,2,7,25,20160209,20160209.0,20160207,66,2.0,0,Non local,2,499.99,23733.69,0.1,100.0,4746.74
182,63,2,4,4,1075,3,2,7,19,20160209,20160209.0,20160207,66,2.0,0,Non local,2,449.0,21313.28,0.05,44.9,2131.33
183,63,3,4,8,1075,6,2,7,3,20160209,20160209.0,20160207,66,2.0,0,Non local,1,999.99,47467.86,0.1,100.0,4746.79
184,64,1,4,1,1185,2,2,6,25,20160208,20160209.0,20160207,186,2.0,1,Non local,2,499.99,23733.69,0.1,100.0,4746.74
185,64,2,4,1,1185,1,2,6,22,20160208,20160209.0,20160207,186,2.0,1,Non local,2,269.99,12815.98,0.2,108.0,5126.39
186,64,3,4,1,1185,1,2,6,23,20160208,20160209.0,20160207,186,2.0,1,Non local,2,299.99,14240.03,0.2,120.0,5696.01
187,64,4,4,1,1185,2,2,6,24,20160208,20160209.0,20160207,186,2.0,1,Non local,2,549.99,26107.11,0.1,110.0,5221.42
188,65,1,4,1,996,3,2,6,12,20160209,20160211.0,20160208,162,3.0,1,Non local,1,549.99,26107.11,0.1,55.0,2610.71
189,66,1,4,5,1253,6,2,7,2,20160212,20160212.0,20160209,194,3.0,0,Non local,1,749.99,35600.78,0.2,150.0,7120.16
190,66,2,4,1,1253,1,2,7,23,20160212,20160212.0,20160209,194,3.0,0,Non local,1,299.99,14240.03,0.07,21.0,996.8
191,66,3,4,1,1253,3,2,7,12,20160212,20160212.0,20160209,194,3.0,0,Non local,1,549.99,26107.11,0.07,38.5,1827.5
192,67,1,4,1,526,1,3,8,23,20160211,20160210.0,20160209,19,1.0,0,Non local,2,299.99,14240.03,0.2,120.0,5696.01
193,67,2,4,1,526,3,3,8,12,20160211,20160210.0,20160209,19,1.0,0,Non local,2,549.99,26107.11,0.1,110.0,5221.42
194,67,3,4,1,526,1,3,8,21,20160211,20160210.0,20160209,19,1.0,0,Non local,1,269.99,12815.98,0.2,54.0,2563.2
195,67,4,4,3,526,6,3,8,5,20160211,20160210.0,20160209,19,1.0,0,Non local,2,1320.99,62705.2,0.1,264.2,12541.04
